question,answer
"While many of the 
new graduates are employed by Western oil and gas companies, many are 
also joining their nation-based companies?","employed by Western oil and gas companies, many."
"System of Systems Framework
This book advocates using an SoS framework so that all factors of impor-
tance can be included in the overall design and execution of projects in the 
oil and gas industry?","book advocates using an SoS framework so that all factors of impor-
tance can be included in the overall design and execution of projects in the 
oil and gas industry."
"What Is a System?
A system is a collection of interrelated elements working together synergis-
tically to achieve a set of objectives?",a collection of interrelated elements working together synerg.
"The composite output of a system is 
greater than the sum of the individual outputs of its components?",greater than the sum of the individual outputs of its components.
"What Is System of Systems?
SoS engineering is an interdisciplinary approach focusing on the synergistic 
integration of the elements making up a composite complex system, which is 
made up of other systems?",an interd.
"Each subsystem of an SoS is a complete system in 
its own right?","a complete system in 
its own right."
"The oil and gas industry, 
as an SoS, will encompass such elements as the market system, the social sys-
tem, the environmental system, the national development system, the national 
security system, the economic system, the regulatory system, the legislative 
system, the financial services system, and so on?","lative 
system, the financial services system, and so on."
"Each of these examples is, 
itself, composed of smaller systems?",", 
itself, composed of smaller systems."
"An SoS approach 
transforms the individual capabilities of the ­
system entities into a collective 
capability to meet specific requirements as summarized below:
•	 Systems that are individually developed, managed, and operated 
function as autonomous components of one or more SoS?","individually developed, managed, and operated 
function as autonomous components of one or more SoS."
"•	 The development and management of an SoS explicitly consider the 
political, financial, legal, technical, social, organizational, and opera-
tional characteristics of each element in the SoS?",tics of each element in the SoS.
"What Is a Project System?
Any project is essentially a collection of interrelated activities, people, tech-
nology, resources, work processes, and other assets brought together in the 
pursuit of a common goal?","essentially a collection of interrelated activities, people, tech-
nology, resources, work processes, and other assets brought together in the 
pursuit of a common goal."
", achieving a desired profit margin or meeting oil and gas 
production schedule)
14
Project Management for the Oil and Gas Industry
Thus, a systems project management can be defined as follows:
Systems project management for the oil and gas industry is the process of 
using a systems approach to manage, allocate, and time resources to achieve 
enterprise-wide goals in an efficient and expeditious manner, considering all 
global ramifications?","the process of 
using a systems approach to manage, allocate, and time resources to achieve 
enterpr."
"The most common basis for 
implementing an SoS view is the application of systems engineering?","for 
implementing an SoS view."
"What Is Systems Engineering?
Systems engineering is the application of engineering to solutions of a mul-
tifaceted problem through a systematic collection and integration of parts 
of the problem with respect to the life cycle of the problem?","the application of engineering to solutions of a mul-
tifaceted problem through a systematic collection and integration of parts 
of the problem with respect to the life cycle of the problem."
"It is the branch 
of engineering concerned with the development, implementation, and use of 
large or complex systems?","the branch 
of engineering concerned with the development, implementation, and use of 
large or complex systems."
"It focuses on specific goals of a system considering 
Environmental
issues
Social
impacts
Price
ﬂuctuations
Supply and
demand issues
Development
cost
Exploration
limitations
Workforce
education and
training
Supply logistics
Sanctions and
embargoes
National
alliances
Global oil and gas
industry
Market forecast
New
technologies
Government
regulatory
requirements
Reserve
assessment
FIGURE 1?","sues
Social
impacts
Price
ﬂuctuations
Supply and
demand."
"Thus, project management tools and 
techniques are essential in the overall scheme of an oil and gas business?",essential in the overall scheme of an oil and gas business.
"Project management provides 
the mechanisms through which specific work and objectives within the 
framework would be accomplished?","ms through which specific work and objectives within the 
framework would be accompl."
"The following project definitions are 
essential:
Project: A project is traditionally defined as a unique one-of-kind endeavor 
with a specific goal that has a definite beginning and a definite end?","traditionally defined as a unique one-of-kind endeavor 
with a specific goal that has a definite beginning and a definite end."
